Species,Family,Suborder,Age,Dentition,Diet,Echolocation,Feeding,Habitat,Literature
Lipotes vexillifer,Lipotidae,odont,Extant,homodont,fish,echo,biting,riverine,"Brownell, R.L., and Herald, E.S. 1972. Lipotes vexillifer. Mammalian Species, 10:1–4. "
Lissodelphis borealis,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Newcomer, M. W., Jefferson, T.A., Brownell, R.L. and Brownell Jr., R.L. 1996. Lissodelphis peronii. Mammalian Species, 531:1–5. T.A. Jefferson, M.A. Webber, R.L. Pitman. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Mesoplodon bidens,Ziphiidae,odont,Extant,reduced,cephalopods + fish,echo,suction,pelagic,"Ellis, R., & Mead, J.G. (2017). Beaked Whales: A Complete Guide to Their Biology and Conservation. Baltimore: Johns Hopkins University Press."
Mesoplodon densirostris,Ziphiidae,odont,Extant,reduced,cephalopods + fish,echo,suction,pelagic,"Ellis, R., & Mead, J.G. (2017). Beaked Whales: A Complete Guide to Their Biology and Conservation. Baltimore: Johns Hopkins University Press."
Monodon monoceros,Monodontidae,odont,Extant,reduced,cephalopods + fish,echo,suction,coastal-pelagic,"Reeves, R.R., and Tracey, S. 1980. Monodon monoceros. Mammalian Species, 127:1–7."
Neophocaena phocaenoides,Phocoenidae,odont,Extant,homodont,cephalopods + fish,echo,suction,coastal,"Jefferson, T.A., and King, S.K. 2004. Neophocaena phocaenoides. Mammalian Species, 746:1–12."
Orcinus orca,Delphinidae,odont,Extant,homodont,tetrapods + fish,echo,biting,coastal-pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Peponocephala electra,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Jefferson, T.A., and Barros, N.B. 1997. Peponocephala electra. Mammalian Species, 553:1–6."
Phocoena phocoena,Phocoenidae,odont,Extant,homodont,cephalopods + fish,echo,suction,coastal,"Pauly, D., Trites, A.W., Capuli, E., and Christensen, V. 1998. Diet composition and trophic levels of marine mammals. ICES Journal of Marine Science, 55: 467–481."
Phocoena sinus,Phocoenidae,odont,Extant,homodont,cephalopods + fish,echo,suction,coastal,"Pauly, D., Trites, A.W., Capuli, E., and Christensen, V. 1998. Diet composition and trophic levels of marine mammals. ICES Journal of Marine Science, 55: 467–481. Brownell Jr., R.L. 1983. Phocoena sinus. Mammalian Species, 1."
Phocoenoides dalli,Phocoenidae,odont,Extant,homodont,cephalopods + fish,echo,suction,coastal-pelagic,"Pauly, D., Trites, A.W., Capuli, E., and Christensen, V. 1998. Diet composition and trophic levels of marine mammals. ICES Journal of Marine Science, 55: 467–481."
Physeter macrocephalus,Physeteridae,odont,Extant,homodont,cephalopods + fish,echo,suction,coastal-pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Platanista minor,Platanistidae,odont,Extant,homodont,fish,echo,biting,riverine,"Reeves, R.R., and Brownell Jr., R.L. 1989. Susu - Platanista gangetica (Roxburgh, 1801) and Platanista minor Owen, 1853, pp. 69–100 In Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 4: River Dolphins and the Larger Toothed Whales. Academic Press."
Pontoporia blainvillei,Pontoporiidae,odont,Extant,homodont,cephalopods + fish,echo,biting,coastal,"Brownell Jr., R. L. 1989. Franciscana - Pontorporia blainvillei (Gervais and d’Orbigny, 1844), p. 45–68 in Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 4: River Dolphins and the Larger Toothed Whales. Academic Press."
Pseudorca crassidens,Delphinidae,odont,Extant,homodont,tetrapods + fish,echo,biting,coastal-pelagic,"Stacey, P.J., Leatherwood, S. and Baird, R.W. 1994. Pseudorca crassidens. Mammalian Species, 456:1–6."
Sotalia fluviatilis,Delphinidae,odont,Extant,homodont,fish,echo,biting,riverine,"Caballero, S., Trujillo, F., Vianna, J. a., Barrios-Garrido, H., Montiel, M. G., Beltrán-Pedreros, S., Marmontel, M., Santos, M.C., Rossi-Santos, M., Santos, F.R. and Baker, C.S. 2007. Taxonomic status of the genus Sotalia: species level ranking for “Tucuxi” (Sotalia fluviatilis) and “Costero” (Sotalia guianensis) dolphins. Marine Mammal Science, 23:358–386."
Sousa chinensis,Delphinidae,odont,Extant,homodont,fish,echo,biting,coastal,"Pauly, D., Trites, A.W., Capuli, E., and Christensen, V. 1998. Diet composition and trophic levels of marine mammals. ICES Journal of Marine Science, 55: 467–481."
Stenella attenuata,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Stenella coeruleoalba,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Stenella longirostris,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"Perrin, W. F. 1998. Stenella longirostris, Mammalian Species, 599:1–7."
Steno bredanensis,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,pelagic,"West, K.L., Mead, J.G. and White, W. 2011. Steno bredanensis (Cetacea: Delphinidae). Mammalian Species, 43:177–189."
Tasmacetus shepherdi,Ziphiidae,odont,Extant,homodont,cephalopods + fish,echo,suction,pelagic,"Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 4: River Dolphins and the Larger Toothed Whales. Academic Press. Ellis, R., & Mead, J.G. (2017). Beaked Whales: A Complete Guide to Their Biology and Conservation. Baltimore: Johns Hopkins University Press."
Tursiops aduncus,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,coastal-pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Tursiops truncatus,Delphinidae,odont,Extant,homodont,cephalopods + fish,echo,biting,coastal-pelagic,"Jefferson, T.A, Webber, M.A. Pitman, R.L. Marine Mammals of the World: a Comprehensive Guide to their Identification. Academic Press, San Diego (2015)"
Ziphius cavirostris,Ziphiidae,odont,Extant,reduced,cephalopods + fish,echo,suction,pelagic,"Heyning, J. E. 1989. Cuvier’s beaked whale - Ziphius cavirostris Cuvier, 1823, p. 289–308 in Ridgway, S.H. and Harrison, R. (eds.), Handbook of Marine Mammals - Vol. 4: River Dolphins and the Larger Toothed Whales. Academic Press."
Balaena mysticetus,Balaenidae,myst,Extant,baleen plate,benthic invertebrates + zooplankton + fish,no_echo,continous ram ,coastal,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166033"
Balaenoptera acutorostrata,Balaenopteridae,myst,Extant,baleen plate,zooplankton + fish,no_echo,engulfment,coastal-pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166033"
Balaenoptera bonaerensis,Balaenopteridae,myst,Extant,baleen plate,zooplankton + fish,no_echo,engulfment,coastal-pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166038"
Balaenoptera borealis,Balaenopteridae,myst,Extant,baleen plate,benthic invertebrates + zooplankton + fish,no_echo,engulfment,pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166035"
Balaenoptera edeni,Balaenopteridae,myst,Extant,baleen plate,benthic invertebrates + zooplankton,no_echo,engulfment,coastal,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166034"
Balaenoptera musculus,Balaenopteridae,myst,Extant,baleen plate,zooplankton,no_echo,engulfment,pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166037"
Balaenoptera physalus,Balaenopteridae,myst,Extant,baleen plate,zooplankton + fish,no_echo,engulfment,pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166036"
Balaenoptera ricei,Balaenopteridae,myst,Extant,baleen plate,zooplankton,no_echo,engulfment,coastal,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166033"
Caperea marginata,Cetotheriidae,myst,Extant,baleen plate,zooplankton,no_echo,continous ram ,coastal-pelagic,NOAA Fisheries
Eschrichtius robustus,Eschrichtiidae,myst,Extant,baleen plate,benthic invertebrates,no_echo,suction,coastal,NOAA Fisheries
Eubalaena australis,Balaenidae,myst,Extant,baleen plate,zooplankton,no_echo,continous ram ,coastal-pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166036"
Eubalaena glacialis,Balaenidae,myst,Extant,baleen plate,benthic invertebrates + zooplankton,no_echo,continous ram ,coastal-pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166035"
Eubalaena japonica,Balaenidae,myst,Extant,baleen plate,zooplankton + fish,no_echo,continous ram ,coastal,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166037"
Megaptera novaeangliae,Balaenopteridae,myst,Extant,baleen plate,zooplankton + fish,no_echo,engulfment,coastal-pelagic,"Goldbogen, J. A., & Madsen, P. T. (2018). The evolution of foraging capacity and gigantism in cetaceans. Journal of Experimental Biology, 221(11), jeb166033. https://doi.org/10.1242/jeb.166038"
Hippopotamus amphibius,Hippopomidae,,Extant,heterodont,plants,no_echo,biting,riverine,
